For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
17.5,4.07,575,737,736,323,-480,307,-484,-59,-73.1,930,908,946,208,278,484,496,-73.25
21.7,4.07,612,737,736,308,-494.6,294,-502,-63,-65.4,953,916,898,668,286,495,517,-70.05
22.1,4.24,651,738,736,297,-500.5,290,-503,-64,-64.3,960,944,881,755,321,503,524,-67.79
22.2,4.24,663,757,756,301,-525.3,285,-533,-75,-64.3,987,956,897,1094,590,532,558,-69.67
22.2,4.24,645,757,756,297,-526.6,284,-538,-68,-76.5,961,957,893,816,321,545,560,-77.47
22.4,4.24,648,767,766,303,-537.3,281,-551,-76,-77.7,962,955,896,703,330,557,578,-77.69
23,4.24,581,767,767,303,-543.6,281,-558,-76,-70,940,953,889,564,365,560,595,-75.41
23.5,4.47,598,798,797,305,-571.5,292,-581,-82,-80.5,943,943,900,243,304,626,657,-83.3
23.4,4.47,589,797,795,304,-565.4,294,-564,-69,-70,932,939,906,469,234,627,633,-76.66
23,4.47,611,797,796,303,-556.8,292,-571,-72,-66.6,933,950,914,469,330,624,638,-66.74
23.4,4.53,602,796,796,301,-565.2,292,-575,-74,-75.8,897,950,911,668,226,621,637,-69.88
23.5,4.53,586,797,795,302,-568.3,288,-577,-80,-70.9,902,946,907,538,78,614,634,-69.86
23.5,4.53,607,797,796,299,-567.4,294,-570,-79,-85.6,946,944,926,755,52,632,639,-77.78
23.7,4.53,648,797,797,300,-565.1,283,-583,-86,-84.4,962,945,910,347,43,619,658,-77.39
23.4,4.53,643,797,796,299,-568.1,289,-574,-87,-84.1,957,954,923,417,35,613,640,-80.44
23.2,4.53,659,797,797,303,-569.8,287,-578,-85,-80.1,965,942,916,694,52,620,640,-79.41
22.8,4.53,665,797,796,300,-568.9,287,-575,-78,-81.8,964,952,909,521,52,632,648,-80.39
22.9,4.53,630,798,796,304,-566.4,288,-583,-83,-86.4,974,952,922,686,43,615,645,-85.35
23.3,4.53,625,797,796,308,-557.2,291,-568,-78,-79.4,947,955,930,694,26,624,640,-74.96
23.8,4.53,652,797,796,306,-563,289,-577,-75,-78.2,911,968,913,582,43,634,647,-74.18
23,4.53,632,797,795,310,-561,291,-576,-77,-70.9,918,968,915,234,373,637,657,-72.91
23.1,4.53,681,797,796,306,-563.9,287,-579,-82,-73.8,942,983,920,738,547,602,634,-73.21
23.2,4.65,651,817,816,307,-587.3,285,-609,-90,-69.2,948,982,896,781,417,655,684,-72.17
23.4,4.64,691,818,817,304,-588.9,285,-607,-91,-80.6,984,980,897,859,382,669,702,-80.94
23.5,4.64,716,817,816,296,-596.6,284,-608,-91,-84.2,957,987,892,807,399,666,690,-83.88
23.2,4.64,677,817,815,298,-585.4,287,-603,-82,-83.5,980,989,898,677,365,680,705,-79.56
22.8,4.65,643,817,816,301,-594.3,284,-615,-89,-92.8,974,990,895,512,365,669,696,-88.11
23.5,4.65,645,817,816,303,-586,284,-607,-84,-83.1,967,987,908,295,460,663,684,-82.98
23.2,4.65,647,817,817,301,-585.2,290,-602,-77,-79.2,955,992,898,738,347,657,678,-77.27
23.5,4.65,650,817,816,307,-579.5,285,-602,-80,-76.1,929,994,893,755,373,671,714,-77.73
23.5,4.65,628,817,816,301,-584,291,-594,-80,-71.5,921,1003,896,755,339,659,686,-74.72
23.7,4.65,633,817,815,305,-587.4,288,-606,-74,-73.1,915,999,897,573,347,688,712,-76.57
23.6,4.71,645,817,816,306,-588.8,286,-600,-85,-72.8,954,999,903,538,365,664,700,-78.52
23.6,4.76,659,827,826,300,-607.7,293,-620,-89,-83.6,984,998,909,234,365,694,723,-85.89
23.8,4.76,671,827,825,305,-606,288,-622,-90,-82.6,977,1001,918,582,347,690,712,-87.63
23.2,4.82,664,827,826,301,-602.4,282,-619,-91,-79.8,959,1003,902,686,451,686,712,-85.24
23.5,4.82,658,827,826,301,-607.2,282,-623,-92,-85.8,953,997,904,686,391,684,733,-86.67
23.8,4.82,621,827,826,304,-613.2,278,-633,-97,-84.2,949,994,886,564,365,681,721,-87.79
23.5,4.82,613,827,825,299,-610.2,282,-625,-85,-91.4,938,989,890,851,356,719,730,-89.8
24,4.81,654,827,825,303,-607.3,294,-620,-84,-85.2,941,986,918,547,330,692,711,-84.03
23.5,4.82,665,827,826,305,-604.4,295,-609,-77,-82.9,925,994,903,312,330,693,718,-85.02
23.3,4.82,653,827,826,303,-608.1,293,-620,-81,-83.4,928,994,895,217,356,705,733,-84.18
23.4,4.82,640,826,826,307,-616.1,292,-623,-92,-81.7,952,986,907,347,339,669,695,-80.91
25,4.93,709,848,846,303,-631.7,283,-655,-98,-84.9,970,988,891,634,347,734,771,-86.36
24.6,4.94,698,847,847,292,-635.4,284,-647,-94,-90.6,961,991,881,139,321,746,783,-87.43
24.6,4.94,668,847,846,293,-633.2,283,-647,-93,-84.3,974,991,888,868,339,747,775,-81.99
25.1,4.93,655,847,846,288,-647.7,283,-653,-103,-82.2,992,994,891,477,1745,744,768,-82.88
24.9,4.94,641,853,851,281,-663.6,295,-654,-109,-94.1,965,982,887,122,391,780,784,-91.85
25,4.94,600,852,851,279,-670.1,292,-652,-100,-94.4,947,982,885,668,469,779,778,-88.85
25.5,4.94,607,852,851,279,-662.8,298,-646,-96,-95.2,934,973,879,148,339,780,786,-91.16
25.5,4.94,644,852,850,283,-664.2,299,-641,-95,-82.2,928,989,888,703,356,777,765,-79.54
25.5,4.94,641,853,851,291,-648.1,290,-657,-97,-81.4,907,1009,879,104,373,772,795,-86.28
25.2,4.94,673,852,852,294,-655.2,287,-662,-94,-81.9,963,999,886,894,347,775,797,-82.68
25.1,4.94,633,852,851,293,-653.6,282,-661,-97,-88,967,1002,888,616,295,763,782,-91.61
25.2,4.94,623,853,850,299,-653.1,279,-669,-102,-90.8,967,984,905,755,269,764,789,-90.19
24.8,4.94,636,852,851,300,-655.9,281,-674,-103,-99.2,958,974,894,191,78,771,794,-95.19
24.8,4.94,622,852,851,295,-648.4,285,-664,-98,-89,970,972,892,486,43,758,779,-92.13
24.7,4.94,623,852,851,296,-649,278,-664,-98,-94.7,957,979,883,521,43,758,782,-92.42
24.9,4.94,628,853,851,305,-637.7,279,-672,-97,-83.9,962,976,891,903,43,752,810,-89.14
23.7,4.94,625,848,846,304,-630,283,-660,-97,-84.5,933,971,881,217,35,747,800,-89.48
